"Reference","Pin","Net"
"RT4","2","TEMP_ADC"
"RTPS1","1","TPS_SIG_RAW"
"RTPS1","2","TPS_SIG_DIV"
"RTPS2","1","TPS_SIG_DIV"
"RTPS2","2","GND_LOGIC"
"RTPS3","1","TPS_SIG_DIV"
"RTPS3","2","TPS_ADC"
"RTPS4","1","TPS_REF_RAW"
"RTPS4","2","TPS_REF_DIV"
"RTPS5","1","TPS_REF_DIV"
"RTPS5","2","GND_LOGIC"
"RTPS6","1","TPS_REF_DIV"
"RTPS6","2","TPS_REF_ADC"
"RPICK1","1","PICKUP_RAW"
"RPICK1","2","PICKUP_SENSE"
"RPICK2","1","PICKUP_SENSE"
"RPICK2","2","VMID"
"RPICK3","1","PICKUP_OC"
"RPICK3","2","PICKUP_SENSE"
"RPICK4","1","3V3"
"RPICK4","2","PICKUP_OC"
"RPICK5","1","PICKUP_OC"
"RPICK5","2","PICKUP_DIG"
"RVM1","1","3V3"
"RVM1","2","VMID"
"RVM2","1","VMID"
"RVM2","2","GND_LOGIC"
"RVZ1","1","5V_LOGIC"
"RVZ1","2","PICKUP_ZERO"
"RVZ2","1","PICKUP_ZERO"
"RVZ2","2","GND_LOGIC"
"ROEMC1","1","COIL_CENTER"
"ROEMC1","2","OEM_C_R1"
"ROEMC2","1","OEM_C_R1"
"ROEMC2","2","OEM_C_R2"
"ROEMC3","1","OEM_C_R2"
"ROEMC3","2","OEM_C_R3"
"ROEMC4","1","OEM_C_R3"
"ROEMC4","2","OEM_C_LED_A"
"ROEMS1","1","COIL_SIDE"
"ROEMS1","2","OEM_S_R1"
"ROEMS2","1","OEM_S_R1"
"ROEMS2","2","OEM_S_R2"
"ROEMS3","1","OEM_S_R2"
"ROEMS3","2","OEM_S_R3"
"ROEMS4","1","OEM_S_R3"
"ROEMS4","2","OEM_S_LED_A"
"ROEMC5","1","3V3"
"ROEMC5","2","OEM_CENTER"
"ROEMS5","1","3V3"
"ROEMS5","2","OEM_SIDE"
"RFAN1","1","FAN_CTL"
"RFAN1","2","FAN_BASE"
"RFAN2","1","FAN_BASE"
"RFAN2","2","GND_LOGIC"
"RPWMA","1","PWM_A"
"RPWMA","2","PWM_A_IN"
"RPWMB","1","PWM_B"
"RPWMB","2","PWM_B_IN"
"RGA","1","DRV_A"
"RGA","2","GATE_Q1"
"RGB","1","DRV_B"
"RGB","2","GATE_Q2"
"RGPD1","1","GATE_Q1"
"RGPD1","2","ISENSE"
"RGPD2","1","GATE_Q2"
"RGPD2","2","ISENSE"
"RI1","1","3V3"
"RI1","2","IREF"
"RI2","1","IREF"
"RI2","2","GND_LOGIC"
"RIS","1","ISENSE"
"RIS","2","ISENSE_ADC"
"RVOV1","1","5V_LOGIC"
"RVOV1","2","VOV_REF"
